PATH,SHA256,ROLE
paper/claim-ledger.yaml,1f5aa24f486b54e45be81a7ec624620fa5af7867e79598fc945a89a00713b055,frozen source or frozen claim boundary
artifacts/v2-preflight/v1-immutability.json,5bb669a47560e341a79257c9f2817111ffd0a5e21fbdc24ab0418682b0601b8a,frozen source or frozen claim boundary
artifacts/v2-preflight/control-matrix.json,326afc450e482c844fcf590e5f3fa081428037a0958c1759d3303d9b5408c0f2,frozen source or frozen claim boundary
artifacts/v2-methodology-repair/readiness.json,cf9f6fe90ea46fcc10ae5d380a9611c85165ab55e06a107cdf110ec365969aea,frozen source or frozen claim boundary
protocols/context-dependent-memory-v4-final-development.yaml,a0fbd2d0a353321465fcdc10acc79f3f76e244ed4f5631bb9f3044d2f385173e,frozen source or frozen claim boundary
protocols/context-dependent-memory-v4-additional-development-exclusions.yaml,60f48bfa520232d70808df97280a7142c6ec56df083ae37babfdd856a1ef0854,frozen source or frozen claim boundary
artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml,96c6f3d85ae472a8eb876cfbece8b033246fba5bb99d77e31077923967eb6a2a,frozen source or frozen claim boundary
artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml,a62d9d3785c0d299dfb389cc7176e55b365da28f2d67dee951b7c2da8358d3f6,frozen source or frozen claim boundary
protocols/v4-identification-nonvacuity-control.yaml,37457d6f7321c4df36f8cfdc2bbb813e4c7036e06dc9066ab24b325267b5772d,frozen source or frozen claim boundary
protocols/external-identification-audit-v1.yaml,c9916f3761e494a07756eac7755fb6249da33ed0ab36ba988dd8a20d21bb4bae,frozen source or frozen claim boundary
audits/external-identification-v1/table-data.yaml,2bd73814a19d7dd70239a9c04755b7de535ad3b40a96bd70065f67b30d189313,frozen source or frozen claim boundary
audits/external-identification-v1/reconciliation.yaml,6e387145bb959933f0ac37987b50d9441dd83e7c2271ea17c0f9e966990270c0,frozen source or frozen claim boundary
audits/external-identification-v1/cross-paper-analysis.yaml,a5d0c5800464dca630e713a374ae9c71b762665bda8a03eb2a17826ac1a4fb24,frozen source or frozen claim boundary
audits/external-identification-v1/generic-validity-comparison.yaml,bbdd5665fdf87dfe486dca03b7e1bccc5984f512d78c3f4c993b9da3f597ad5f,frozen source or frozen claim boundary
