family,record,run_id,path,syntax_hash
F01,R0001,dddd3fb81280fad928176982,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/dddd3fb81280fad928176982/attempts/attempt-001/workspace/app/service.py,33b9a6cc9fd8bda64e5a6e32d0274c7199afa25c00d3b16f2e014ea483800583
F01,R0002,7ac3d8c6821f5cd6e55499d2,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/7ac3d8c6821f5cd6e55499d2/attempts/attempt-001/workspace/app/service.py,2d0dc73e71e7aeee359406b414d1cb5b25c599a994a46b7974511b87eb92165b
F01,R0003,79073b176698ed7cde2ac8a1,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/79073b176698ed7cde2ac8a1/attempts/attempt-001/workspace/app/service.py,bcbf96fad41202bd2bf89bbf4a0e351b2b87fbb5e08cf71b612874748c0a3488
F01,R0005,99dcdadfc4694bb6e17dfc57,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/99dcdadfc4694bb6e17dfc57/attempts/attempt-001/workspace/app/service.py,118dd294338af1369f453cdc884618e04588169142d1b6355bfe7ff6077fe11d
F01,R0006,fca9a3bc6ef123aaac891d53,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/fca9a3bc6ef123aaac891d53/attempts/attempt-001/workspace/app/service.py,b725d56cc141b683cb5fe0ee4fa9b623ac8a28fb50e93a2918b9ad7dfccd7dea
F01,R0007,319c0e13453ae02d668f60d4,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/319c0e13453ae02d668f60d4/attempts/attempt-001/workspace/app/service.py,3c702fed96a3160b64d1e55ccbe67285c2eb395227915504acae28d25f7b0053
F01,R0008,7120031c6885fa1df002f72c,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/7120031c6885fa1df002f72c/attempts/attempt-001/workspace/app/service.py,a6d6c84b59999e39bd808054521a69ad17da883638630a9be0df044810eb8040
F01,R0109,749626191b98cd27805f52b0,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/749626191b98cd27805f52b0/attempts/attempt-001/workspace/app/service.py,d5c90024c473b08e907a43235c9ea105ed9087621b5cfc5905cf422883a5b2fe
F01,R0110,7bf1a3b8dad2b0465f543282,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/7bf1a3b8dad2b0465f543282/attempts/attempt-001/workspace/app/service.py,16b78c51cee9190ae3daf1e58c3c4fa28f217d3230ca404d42ec97cb87536127
F01,R0111,868d93f42c626858daa25bdc,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/868d93f42c626858daa25bdc/attempts/attempt-001/workspace/app/service.py,e202e1ca55c5b74af8cba7997905415f87351716d7e5aac42d98d03c13ef24e0
F01,R0112,81c25197515e22d5ce8b2a38,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/81c25197515e22d5ce8b2a38/attempts/attempt-001/workspace/app/service.py,c9ca0aa021062ee4a5bd4edf1f0b38dd4b316102cfa50530653f766cefdad862
F01,R0209,6c25b129b3b9128dbc83d365,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/6c25b129b3b9128dbc83d365/attempts/attempt-001/workspace/app/service.py,7e411a305f480f03cf28fcd4638522b34cac955292cc755a6bbed3ff119d68b8
F01,R0210,1dcef041ba7502458b85e4f5,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/1dcef041ba7502458b85e4f5/attempts/attempt-001/workspace/app/service.py,36aa778854576c631ad3f3ff23208f25dfad3ad209380d3ff29ba0cd7fe8d420
F01,R0213,451f6b33f7a9c3e0a5737763,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/451f6b33f7a9c3e0a5737763/attempts/attempt-001/workspace/app/service.py,e25edcd3a8b84e6a22f5567eeed180f8d4f41665ce4f4feaac43c852c0c85bc6
F01,R0214,5b2fa0a9f5ae551098cb62ec,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/5b2fa0a9f5ae551098cb62ec/attempts/attempt-001/workspace/app/service.py,3163106ebe8741ca2c467e5f75a0565cae49f34bda845ee4cb4d09529232b0be
F01,R0215,2e0003053271d582a0c5cef4,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/2e0003053271d582a0c5cef4/attempts/attempt-001/workspace/app/service.py,c16c3f6962b4a82d18cba40a870b8ecd9e61fe620a5361545f0d71019f010c9c
F01,R0216,9e904e0defd529b040b7c65c,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/9e904e0defd529b040b7c65c/attempts/attempt-001/workspace/app/service.py,50c67cb853895fb907bd9c1855a2634067272fd6ddc1dd741bee71b4f6c5e750
